descripcion,codigo
ABASTERO - TRASERO,1404
SOBRECOSTILLA - DELANTERO,4140
LOMO LISO - TRASERO,2318
ASIENTO - TRASERO,2146
POSTA NEGRA - TRASERO,1256
PLATEADA - DELANTERO,2206
GANSO - TRASERO,1132
FILETE - TRASERO,2440
TAPAPECHO - DELANTERO,4216
POSTA DE PALETA - DELANTERO,5140
POSTA ROSADA - TRASERO,1508
POLLO GANSO - TRASERO,1350
PUNTA DE PICANA - TRASERO,2506
PALANCA - TRASERO,3508
HUACHALOMO - DELANTERO,4138
CHOCLILLO - DELANTERO,5142
ASADO DEL CARNICERO - DELANTERO,5174
PUNTA DE PALETA - DELANTERO,5172
LOMO VETADO - DELANTERO,2744
